11:12:04(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:22:11(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:36:25(0); 電子標籤主機網路中斷. IP=192.168.66.5
11:38:16(0); 電子標籤主機網路中斷. IP=192.168.66.5
12:00:27(0); 電子標籤主機網路中斷. IP=192.168.66.5
14:30:44(0); 電子標籤主機網路中斷. IP=192.168.66.5
14:33:39(0); 電子標籤主機網路中斷. IP=192.168.66.5
14:35:45(0); RUNTimeServer.cs SfcTimerloopthread_Tick 等SfcTimerloopautoRUN_DOC_Tick完成 Timeout. RUNTimeServer已停止作業
16:09:57(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:13:27(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:14:26(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:24:31(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:30:46(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:40:52(0); 電子標籤主機網路中斷. IP=192.168.66.5
16:50:57(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:01:03(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:11:08(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:21:14(0); 電子標籤主機網路中斷. IP=192.168.66.5
17:31:21(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:47:37(0); 電子標籤主機網路中斷. IP=192.168.66.5
20:57:21(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:07:27(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:23:34(0); 電子標籤主機網路中斷. IP=192.168.66.5
21:25:58(0); 電子標籤主機網路中斷. IP=192.168.66.5
