09:39:54(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:46:51(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:48:13(0); S Type=1 Data=IIS_Login,SoftNet_I,
09:50:46(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:07:12(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:17:22(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:18:53(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:23:05(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:41:44(0); S Type=1 Data=IIS_Login,SoftNet_I,
10:43:11(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:31:36(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:35:42(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:37:18(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:38:49(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:42:24(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:54:17(0); S Type=1 Data=IIS_Login,SoftNet_I,
11:58:08(0); S Type=1 Data=IIS_Login,SoftNet_I,
12:00:30(0); S Type=1 Data=IIS_Login,SoftNet_I,
